GeneID	GSM2476152	GSM2476153	GSM2476154	GSM2476155	GSM2476156	GSM2476157	GSM2476158	GSM2476159	GSM2476160	GSM2476161	GSM2476162
105370031	0	0	0	0	0	0	0	0	0	0	0
105370030	0	0	0	0	0	0	0	0	0.007055	0	0
105370032	0.01561	0	0	0	0	0	0	0	0.06355	0	0.03087
5027	0.1209	0.02319	0.067	0.04781	0.07486	0.06173	0.08149	0.03514	1.699	0.7365	1.435
5025	6.271	1.641	2.031	3.126	2.758	2.011	9.044	3.442	8.219	7.9	9.838
10645	8.427	4.336	5.333	9.177	4.913	2.896	8.045	6.503	8.155	7.955	9.016
51433	69.04	31.43	43.65	49.37	49.79	44.48	34.64	47.68	41.63	32.56	28.77
80196	15.6	8.178	13.02	14.47	17.91	14.78	10.15	10.9	12.65	7.309	8.472
84678	4.384	3.416	3.155	1.009	5.14	2.989	2.693	3.391	3.397	2.959	3.163
102465665	0.2704	0.2679	0.2732	0	0	0.2675	0.538	0.2707	0.2752	0	0
101928346	0.07712	0.4202	0.2338	0	0.3116	0.3051	0.1151	0.2316	0.03925	0	0.1144
105370033	0.05328	0	0	0	0.08074	0.02635	0	0.02667	0	0	0
84876	40.05	9.479	9.478	18.95	14.99	15.73	5.872	9.896	7.917	5.732	6.037
283385	0.3345	0.05879	0.0218	0.00551	0.0218	0.3201	0.1664	0.27	0.1592	0.095	0.05335
105370034	0.01251	0	0	0.01278	0.01264	0	0	0.01253	0	0	0
144404	6.301	2.786	3.615	16.59	1.711	10.73	11.91	4.066	9.934	5.531	4.732
54509	12.62	2.376	2.774	46.64	1.553	25.75	31.43	4.491	20.61	11.62	7.389
107984442	0.04213	0.04174	0	0.06454	0	0	0.1048	0.02109	0.1715	0	0
338799	4.141	5.994	2.496	3.914	2.07	2.041	1.997	6.493	14	7.979	5.261
23067	4.157	2.981	5.424	5.844	5.187	5.565	3.986	4.247	7.151	4.476	4.614
3242	0.01116	0.07741	0.1015	0.0342	0.09021	0.04416	0.06663	0.02235	0.05681	0.3385	0.02208
105370035	0	0.02924	0	0	0	0.02919	0.02936	0	0.03004	0.2021	0
5715	18.93	17.77	17.22	18.59	15.69	17.01	13.45	13.2	15.13	12.15	14.2
144406	1.073	11.13	10.79	15.65	0.6781	5.794	6.364	0.4734	0.3571	3.95	0.875
605	4.469	7.803	2.876	7.308	2.841	2.363	3.747	1.528	3.13	7.397	4.324
100506691	0.1067	3.911	3.692	7.301	0.02695	4.168	0.6368	0.6409	0.6787	1.983	1.398
22877	7.591	9.024	21.74	17	6.028	16.26	14.24	14.34	14.27	10.51	14.08
254050	0.03134	0.08539	0.08709	0.02401	0	0.2325	0.1793	0.05491	0.1196	0.007665	0.2479
386653	0	0	0	0	0	0	0	0	0	0	0
79369	7.359	4.031	5.586	7.077	5.899	5.373	5.994	5.972	6.464	4.916	3.804
56616	14.34	7.384	10.99	12.1	11.49	9.676	10.33	10.27	11.93	8.258	6.976
101593348	0.06441	0.009116	0.05579	0.07518	0.04648	0.0364	0.02746	0.04606	0.3559	0.018	0.0273
65082	8.5	5.67	6.011	12.21	7.19	5.591	5.329	5.308	7.248	5.076	5.274
6249	30.21	10.02	13.16	26.33	14.84	14.26	15.99	13.72	25.67	12.81	17.99
100507066	0.4587	0	0.0244	0.2712	0.02439	0	0.1441	0	0.1229	0.1653	0.1433
55596	8.647	2.911	2.924	7.653	7.383	4.064	4.523	3.224	6.269	3.239	3.76
65117	13.67	9.183	11.19	13.6	20.99	14.86	12.81	12.61	14.25	15.05	13.05
9735	8.407	7.076	3.799	7.335	13.82	7.704	5.445	6.159	3.929	3.585	7.751
113218484	0	0	0	0	0	0	0	0.2329	0	0	0
338442	0.08381	0.06227	0.06351	0.0535	0.05291	0.2176	0.2605	0.5034	0.4372	0.3484	0.03108
113218511	0	0	0	0	0	0	0	0.2329	0	0	0
